date,band,label,supply,cost_basis,profit_percent,supply_percent,supply_usd,realized_cap_usd,realized_cap_percent,utxo_count
2026-02-22,range_1m_3m,1-3m,1844303.51172249,90322.57661716,65.21466556,9.22457502,124790017060.20909,166582245242.84973,15.2187159,15379059
2026-02-22,range_3m_6m,3-6m,2813413.18486142,101430.27191638,65.21466556,14.07172997,190362311357.51437,285365264353.6171,26.07056281,24411782
2026-02-22,range_6m_12m,6-12m,2085856.52441382,104770.43656896,65.21466556,10.43274053,141134075607.57013,218536098683.04562,19.96514572,34047434
2026-02-21,range_10y_inf,>10y,3431879.86050354,103.06096658,66.72300018,17.16552865,233615070475.00027,353692855.5939067,0.03231063,14169125
2026-02-21,range_7y_10y,7-10y,1667276.36184094,5794.29814617,66.72300018,8.33935957,113494906758.0775,9660696332.56397,0.88252613,29889010
2026-02-21,range_5y_7y,5-7y,1174084.55693811,15436.34165232,66.72300018,5.8725197,79922333432.8673,18123570349.614098,1.65562853,45248609
2026-02-21,range_2y_3y,2-3y,998606.87210359,32490.38980992,66.72300018,4.99481787,67977209076.622665,32445126541.513996,2.96393459,41403335
2026-02-21,range_3y_5y,3-5y,2229510.05934539,36395.86748662,66.72300018,11.15153221,151767302705.71722,81144952680.01738,7.4127722,18769744
2026-02-21,range_18m_2y,1.5-2y,955954.7349605,64127.06414488,66.72300018,4.78148101,65073790999.764244,61302570608.414764,5.6001264,69967142
2026-02-21,range_1d_1w,1d-1w,386503.61633116,67524.73051416,66.72300018,1.93320838,26310090457.186993,26098552535.508583,2.38416092,3095633
2026-02-21,range_0d_1d,<1d,102289.69013338,68223.78488783,66.72300018,0.51163114,6963068096.990238,6978589815.902643,0.63750973,458510
2026-02-21,range_1w_1m,1w-1m,1142834.62086751,76427.92116632,66.72300018,5.71621421,77795086467.87555,87344474309.80675,7.97911231,6445132
2026-02-21,range_12m_18m,1-1.5y,1376547.36597299,87151.51666433,66.72300018,6.88519535,93704390300.76424,119968190704.83476,10.95936149,51526432
2026-02-21,range_1m_3m,1-3m,1641668.87402731,90438.99304425,66.72300018,8.21127639,111751752768.5928,148470879879.12097,13.56314564,15347583
2026-02-21,range_3m_6m,3-6m,2813887.60910997,101579.30529403,66.72300018,14.07446365,191547075897.49487,285832748508.8602,26.11145836,24475430
2026-02-21,range_6m_12m,6-12m,2071814.32283657,104710.15967846,66.72300018,10.36277188,141032631885.1863,216940008568.34738,19.81795308,33948753
2026-02-20,range_10y_inf,>10y,3431424.86923719,103.00703717,66.55138236,17.16357213,233245841844.60205,353460909.0433562,0.03229056,14159229
2026-02-20,range_7y_10y,7-10y,1667286.72513697,5793.14280222,66.55138236,8.33956652,113331257603.01213,9658830090.970951,0.88238614,29769928
2026-02-20,range_5y_7y,5-7y,1173420.56923041,15362.69249023,66.55138236,5.86930775,79761463222.34996,18026899366.793385,1.64685432,45345348
2026-02-20,range_2y_3y,2-3y,997030.27647219,32415.24743099,66.55138236,4.98702484,67771603646.39111,32318983108.034306,2.95251312,41294101
2026-02-20,range_3y_5y,3-5y,2230894.74055417,36425.76681682,66.55138236,11.15866564,151641647903.22986,81262051612.29378,7.42372596,18781798
