Datetime,ETF Net Flow (USD mn)
2025-04-22T00:00:00Z,936.5
2025-04-21T00:00:00Z,387.4
2025-04-18T00:00:00Z,0.0
2025-04-17T00:00:00Z,106.9
2025-04-16T00:00:00Z,-169.8
2025-04-15T00:00:00Z,76.4
2025-04-14T00:00:00Z,1.5
2025-04-11T00:00:00Z,-1.0
2025-04-10T00:00:00Z,-149.5
2025-04-09T00:00:00Z,-127.2
2025-04-08T00:00:00Z,-328.0
2025-04-07T00:00:00Z,-109.2
2025-04-04T00:00:00Z,-64.9
2025-04-03T00:00:00Z,-99.8
2025-04-02T00:00:00Z,220.8
2025-04-01T00:00:00Z,-157.8
2025-03-31T00:00:00Z,-71.2
2025-03-28T00:00:00Z,-94.9
2025-03-27T00:00:00Z,81.7
2025-03-26T00:00:00Z,89.6
2025-03-25T00:00:00Z,26.8
2025-03-24T00:00:00Z,79.7
2025-03-21T00:00:00Z,83.1
2025-03-20T00:00:00Z,165.7
2025-03-19T00:00:00Z,11.8
2025-03-18T00:00:00Z,209.1
2025-03-17T00:00:00Z,274.6
2025-03-14T00:00:00Z,41.3
2025-03-13T00:00:00Z,-143.4
2025-03-12T00:00:00Z,13.3
2025-03-11T00:00:00Z,-396.3
2025-03-10T00:00:00Z,-372.5
2025-03-07T00:00:00Z,-409.3
2025-03-06T00:00:00Z,-134.3
2025-03-05T00:00:00Z,-38.3
2025-03-04T00:00:00Z,-143.5
2025-03-03T00:00:00Z,-74.2
2025-02-28T00:00:00Z,94.3
2025-02-27T00:00:00Z,-275.9
2025-02-26T00:00:00Z,-757.8
2025-02-25T00:00:00Z,-1113.7
2025-02-24T00:00:00Z,-565.9
2025-02-21T00:00:00Z,-62.9
2025-02-20T00:00:00Z,-364.8
2025-02-19T00:00:00Z,-71.2
2025-02-18T00:00:00Z,-60.7
2025-02-17T00:00:00Z,0.0
2025-02-14T00:00:00Z,66.2
2025-02-13T00:00:00Z,-157.8
2025-02-12T00:00:00Z,-251.0
2025-02-11T00:00:00Z,-56.7
2025-02-10T00:00:00Z,-186.3
2025-02-07T00:00:00Z,171.3
2025-02-06T00:00:00Z,-140.2
2025-02-05T00:00:00Z,66.4
2025-02-04T00:00:00Z,340.7
2025-02-03T00:00:00Z,-234.4
2025-01-31T00:00:00Z,318.6
2025-01-30T00:00:00Z,588.1
2025-01-29T00:00:00Z,92.0
2025-01-28T00:00:00Z,18.4
